name,location,cuisine,food_item,rating,budget
Paradise,Hyderabad,Biryani,Biryani,4.5,500
Shah Ghouse,Hyderabad,Mandi,Mandi,4.3,600
Bawarchi,Hyderabad,Biryani,Biryani,4.4,450
Meghana Foods,Bangalore,Biryani,Biryani,4.6,700
Empire Restaurant,Bangalore,Fastfood,Burger,4.2,400
Pizza Hut,Mumbai,Italian,Pizza,4.1,800
Dominos,Mumbai,Fastfood,Pizza,4.0,600
Haldirams,Rajasthan,Sweets,Sweets,4.3,300
Cafe Coffee Day,Secunderabad,Beverages,Coffee,4.0,350
Karachi Bakery,Charminar,Cake,Cake,4.5,500
Burger King,Mumbai,Fastfood,Burger,4.2,500
Mandar Restaurant,Rajasthan,Mandi,Mandi,4.1,550